04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,30%@729,10%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.781C cpu@41.968C soc2@36.375C soc0@39.156C cv1@38.468C gpu@40.406C tj@41.968C soc1@37.406C cv2@33.906C VDD_IN 4959mW/6474mW VDD_CPU_GPU_CV 724mW/2012mW VDD_SOC 1449mW/1493mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,66%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.875C cpu@42.187C soc2@36.437C soc0@39.187C cv1@38.406C gpu@40.812C tj@42.187C soc1@37.343C cv2@33.906C VDD_IN 4999mW/6415mW VDD_CPU_GPU_CV 764mW/1962mW VDD_SOC 1449mW/1491mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [23%@729,0%@729,10%@729,9%@729,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.781C cpu@42.187C soc2@36.25C soc0@39.187C cv1@38.437C gpu@40.656C tj@42.187C soc1@37.406C cv2@34C VDD_IN 4959mW/6359mW VDD_CPU_GPU_CV 724mW/1915mW VDD_SOC 1449mW/1489mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.812C cpu@41.937C soc2@36.281C soc0@39.156C cv1@38.468C gpu@40.531C tj@41.937C soc1@37.312C cv2@33.843C VDD_IN 4919mW/6306mW VDD_CPU_GPU_CV 724mW/1871mW VDD_SOC 1449mW/1488mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.031C soc2@36.343C soc0@39.031C cv1@38.406C gpu@40.468C tj@42.031C soc1@37.281C cv2@33.906C VDD_IN 4878mW/6255mW VDD_CPU_GPU_CV 684mW/1828mW VDD_SOC 1449mW/1487mW
04-10-2026 18:13:10 RAM 4140/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,9%@1984,10%@1984,0%@1984,18%@729,18%@729,0%@729,16%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.906C soc2@36.343C soc0@39.187C cv1@38.437C gpu@40.468C tj@41.906C soc1@37.406C cv2@33.968C VDD_IN 4919mW/6209mW VDD_CPU_GPU_CV 684mW/1789mW VDD_SOC 1449mW/1485mW
04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,8%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@41.937C soc2@36.343C soc0@39.312C cv1@38.468C gpu@40.468C tj@41.937C soc1@37.375C cv2@33.843C VDD_IN 4878mW/6164mW VDD_CPU_GPU_CV 684mW/1752mW VDD_SOC 1449mW/1484mW
04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@1984,0%@1984,15%@729,9%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.156C soc2@36.437C soc0@39.218C cv1@38.343C gpu@40.75C tj@42.156C soc1@37.406C cv2@33.781C VDD_IN 4878mW/6123mW VDD_CPU_GPU_CV 644mW/1716mW VDD_SOC 1449mW/1483mW
04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,8%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.937C soc2@36.25C soc0@39.187C cv1@38.406C gpu@40.531C tj@41.937C soc1@37.375C cv2@33.937C VDD_IN 4838mW/6083mW VDD_CPU_GPU_CV 644mW/1683mW VDD_SOC 1449mW/1482mW
04-10-2026 18:13:11 RAM 4141/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,8%@1984,8%@1984,8%@1984,0%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@42.062C soc2@36.312C soc0@39.281C cv1@38.437C gpu@40.437C tj@42.062C soc1@37.25C cv2@33.812C VDD_IN 4798mW/6044mW VDD_CPU_GPU_CV 644mW/1651mW VDD_SOC 1408mW/1480mW
