04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@42C soc2@36.125C soc0@39.187C cv1@38.25C gpu@40.343C tj@42C soc1@37.218C cv2@33.75C VDD_IN 4717mW/5001mW VDD_CPU_GPU_CV 563mW/801mW VDD_SOC 1408mW/1419mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.843C soc2@36.25C soc0@39.031C cv1@38.25C gpu@40.343C tj@41.843C soc1@37.25C cv2@33.718C VDD_IN 4717mW/4992mW VDD_CPU_GPU_CV 603mW/795mW VDD_SOC 1408mW/1419mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.531C cpu@41.937C soc2@36.156C soc0@39.093C cv1@38.218C gpu@40.187C tj@41.937C soc1@37.187C cv2@33.781C VDD_IN 4717mW/4983mW VDD_CPU_GPU_CV 603mW/789mW VDD_SOC 1408mW/1418mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,9%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.843C soc2@36.156C soc0@39.187C cv1@38.25C gpu@40.281C tj@41.843C soc1@37.281C cv2@33.718C VDD_IN 4757mW/4977mW VDD_CPU_GPU_CV 603mW/783mW VDD_SOC 1408mW/1418mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.781C soc2@36.187C soc0@39C cv1@38.312C gpu@40.562C tj@41.781C soc1@37.187C cv2@33.718C VDD_IN 4757mW/4970mW VDD_CPU_GPU_CV 603mW/778mW VDD_SOC 1408mW/1418mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.75C soc2@36.156C soc0@39.093C cv1@38.25C gpu@40.468C tj@41.75C soc1@37.218C cv2@33.75C VDD_IN 4717mW/4963mW VDD_CPU_GPU_CV 603mW/773mW VDD_SOC 1408mW/1417mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.687C soc2@36.156C soc0@39.125C cv1@38.281C gpu@40.343C tj@41.781C soc1@37.093C cv2@33.687C VDD_IN 4717mW/4957mW VDD_CPU_GPU_CV 603mW/769mW VDD_SOC 1408mW/1417mW
04-10-2026 18:04:29 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.906C soc2@36.218C soc0@39.062C cv1@38.218C gpu@40.437C tj@41.906C soc1@37.187C cv2@33.718C VDD_IN 4717mW/4950mW VDD_CPU_GPU_CV 563mW/763mW VDD_SOC 1408mW/1417mW
04-10-2026 18:04:30 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,8%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.75C soc2@36.187C soc0@39.062C cv1@38.25C gpu@40.312C tj@41.75C soc1@37.25C cv2@33.812C VDD_IN 4717mW/4944mW VDD_CPU_GPU_CV 603mW/759mW VDD_SOC 1408mW/1417mW
04-10-2026 18:04:30 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.781C soc2@36.218C soc0@39C cv1@38.281C gpu@40.312C tj@41.781C soc1@37.375C cv2@33.687C VDD_IN 4717mW/4939mW VDD_CPU_GPU_CV 563mW/754mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5267/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@41.718C soc2@36.187C soc0@39.031C cv1@38.218C gpu@40.187C tj@41.718C soc1@37.218C cv2@33.718C VDD_IN 4717mW/4933mW VDD_CPU_GPU_CV 603mW/751mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [22%@1881,0%@1881,0%@1881,0%@1881,8%@729,0%@729,0%@729,25%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.875C soc2@36.218C soc0@39.156C cv1@38.25C gpu@40.187C tj@41.875C soc1@37.25C cv2@33.843C VDD_IN 4798mW/4930mW VDD_CPU_GPU_CV 644mW/748mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.906C soc2@36.187C soc0@38.968C cv1@38.281C gpu@40.468C tj@41.906C soc1@37.156C cv2@33.656C VDD_IN 4798mW/4927mW VDD_CPU_GPU_CV 603mW/745mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,9%@1984,0%@1984,9%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.843C soc2@36.187C soc0@39.062C cv1@38.218C gpu@40.218C tj@41.843C soc1@37.25C cv2@33.718C VDD_IN 4757mW/4923mW VDD_CPU_GPU_CV 603mW/741mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.75C soc2@36.218C soc0@39.093C cv1@38.25C gpu@40.625C tj@41.75C soc1@37.25C cv2@33.656C VDD_IN 4757mW/4919mW VDD_CPU_GPU_CV 603mW/738mW VDD_SOC 1408mW/1416mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cv0@37.531C cpu@41.812C soc2@36.156C soc0@39C cv1@38.218C gpu@40.531C tj@41.812C soc1@37.25C cv2@33.687C VDD_IN 4717mW/4915mW VDD_CPU_GPU_CV 603mW/735mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@1984,0%@1984,8%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.593C cpu@41.718C soc2@36.156C soc0@39.093C cv1@38.25C gpu@40.312C tj@41.718C soc1@37.25C cv2@33.75C VDD_IN 4717mW/4911mW VDD_CPU_GPU_CV 603mW/733mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:30 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.75C soc2@36.125C soc0@39C cv1@38.375C gpu@40.312C tj@41.75C soc1@37.156C cv2@33.718C VDD_IN 4757mW/4908mW VDD_CPU_GPU_CV 603mW/730mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:31 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.531C cpu@42C soc2@36.187C soc0@39.093C cv1@38.218C gpu@40.406C tj@42C soc1@37.218C cv2@33.75C VDD_IN 4717mW/4904mW VDD_CPU_GPU_CV 563mW/726mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:31 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,8%@1984,0%@1984,9%@729,0%@729,8%@729,9%@729] GR3D_FREQ 0% cv0@37.625C cpu@42C soc2@36.156C soc0@39.093C cv1@38.25C gpu@40.406C tj@42C soc1@37.218C cv2@33.718C VDD_IN 4717mW/4900mW VDD_CPU_GPU_CV 563mW/723mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:31 RAM 5268/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,8%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.812C soc2@36.187C soc0@39C cv1@38.343C gpu@40.218C tj@41.812C soc1@37.156C cv2@33.718C VDD_IN 4757mW/4897mW VDD_CPU_GPU_CV 603mW/721mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:31 RAM 5269/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@1651,16%@1651,20%@1651,0%@1651] GR3D_FREQ 0% cv0@37.625C cpu@42C soc2@36.187C soc0@39.062C cv1@38.218C gpu@40.25C tj@42C soc1@37.187C cv2@33.718C VDD_IN 4798mW/4895mW VDD_CPU_GPU_CV 644mW/719mW VDD_SOC 1408mW/1415mW
04-10-2026 18:04:31 RAM 5269/15655MB (lfb 12x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@1984,0%@1984,0%@1984,0%@1984,15%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.531C cpu@41.718C soc2@36.218C soc0@39.125C cv1@38.312C gpu@40.5C tj@41.718C soc1@37.25C cv2@33.718C VDD_IN 4838mW/4894mW VDD_CPU_GPU_CV 644mW/718mW VDD_SOC 1408mW/1414mW
